marker-color;marker-size;marker-symbol;Obra;Valor Estimado R$;Data Início;Prazo Exec. (Dias);Data Entrega;lon;lat
#ff0000;medium;;Parque linear;R$ 1.130.009,78;01/12/2014;300;27/09/2015;-49.19259309768670;-25.428915758609100
#ff0000;medium;;Velodromo;R$ 22.898.334,95;26/05/2015;720;15/05/2017;-49.163657426834100;-25.44055218112190
#ff0000;medium;;Reforma do CMEI Marcelino Champagnat;R$ 173.487,26;22/12/2015;81;12/03/2016;-49.164462089538500;-25.44271269204820
#ff0000;medium;;Execução de Concregrama na EM João Leal - Lote 2;R$ 26.329,44;22/12/2015;111;11/04/2016;-49.188709259033100;-25.40559108630540
#ff0000;medium;;Execução de Concregrama no CMEI Pequeno Príncipe - Lote 2;R$ 56.606,49;22/12/2015;111;11/04/2016;-49.163947105407700;-25.442082950712900
#ff0000;medium;;Infraestrutura para o Parque das Águas;R$ 305.831,86;21/03/2016;121;20/07/2016;-49.1473388671875;-25.440251837969700
#ffff00;medium;;Reforma da EM Odile Charlotte Bruinjé;R$ 600.383,26;21/12/2015;261;07/09/2016;-49.17984724044790;-25.399359427733900
#ffff00;medium;;Reforma da EM Thereza Corrêa Machado;R$ 767.731,17;22/12/2015;290;07/10/2016;-49.18730914592740;-25.46183103982480
#ffff00;medium;;Reforma do CMEI Tia Marlene;R$ 634.401,52;23/12/2015;259;07/09/2016;-49.1841173171997;-25.45643054750700
#ffff00;medium;;Reforma da Casa Amarela;R$ 776.900,00;23/12/2015;200;10/07/2016;-49.18789386749260;-25.44792973015310
#ffff00;medium;;Execução de Calçada em Paiver no CENFORPE II - Lote 1;R$ 63.930,48;22/12/2015;111;11/04/2016;-49.187389612197800;-25.448535221329200
#ffff00;medium;;Execução de Concregrama na EM José Brunetti - Lote 2;R$ 42.022,96;22/12/2015;111;11/04/2016;-49.17600631713860;-25.43111523517990
#ffff00;medium;;Execução de Concregrama na EM Maria Chalcoski - Lote 2;R$ 42.037,02;22/12/2015;111;11/04/2016;-49.18323755264280;-25.44178261137800
#ffff00;medium;;Execução de Concregrama no CMEI Vó Charlote - Lote 2;R$ 38.063,17;22/12/2015;111;11/04/2016;-49.18480396270750;-25.395802489222200
#ffff00;medium;;Construção da UBS Jardim Karla;R$ 1.567.340,14;17/12/2015;325;06/11/2016;-49.1517162322998;-25.418441048512800
